TF	Target	Regulatory Mode
mexT	PA2812	+
mexT	PA2811	+
PA3249	PA2804	-
PA3249	PA2803	-
PA3249	PA2802	-
mexT	PA2759	+
fhpR	fhpR	-
PA0779	fhpR	-
rpoN	fhpR	+
fhpR	PA2662	+
lasR	PA2592	?
lasR	PA2591	+
pprB	PA2591	+
vqsM	PA2591	+
lasR	PA2588	+
rpoS	PA2573	?
pvdS	PA2531	+
copR	PA2524	?
copR	PA2523	?
mexT	qrh	+
mexT	PA2486	+
vreI	tpsB	+
pvdS	PA2452	+
fleQ	PA2441	?
pvdS	PA2427	+
pvdS	PA2412	+
pvdS	PA2411	+
pvdS	PA2402	+
pvdS	pvdE	+
pvdS	pvdN	+
pvdS	PA2393	+
pvdS	opmQ	+
pvdS	PA2390	+
pmrA	PA2359	+
cysB	PA2355	+
gntR	PA2322	-
gntR	PA2321	-
PA2299	PA2299	-
PA2299	PA2298	-
PA2299	PA2297	-
PA2299	PA2296	-
PA2299	PA2295	-
PA2299	PA2294	-
PA2299	PA2293	-
PA2299	PA2292	-
lexA	PA2288	-
soxR	PA2274	+
ptxS	PA2266	-
ptxS	PA2265	-
ptxS	PA2264	-
ptxS	PA2263	+
ptxS	PA2262	+
ptxS	PA2261	?
ptxS	PA2260	+
anr	PA2127	?
anr	PA2126	?
algR	PA2042	+
argR	PA2042	+
fur	PA2034	+
fur	PA2033	+
PA2032	PA2031	-
PA2010	PA2010	-
PA2010	PA2006	-
mexT	PA1970	+
rpoS	PA1930	?
lasR	hvn	+
lasR	PA1897	+
qscR	PA1897	+
qscR	PA1896	?
qscR	PA1895	?
qscR	PA1894	?
qscR	PA1893	?
qscR	PA1892	?
qscR	PA1891	?
lasR	PA1869	+
mexT	PA1869	-
rhlR	PA1869	+
lexA	PA1866	-
lexA	PA1865	-
psrA	PA1831	-
psrA	PA1830	-
algR	PA1819	+
argR	PA1819	+
mexT	PA1744	+
psrA	fadB	+
NtrC	PA1732	+
NtrC	PA1731	+
NtrC	PA1730	+
lasR	PA1659	+
lasR	PA1658	+
mexT	PA1658	-
lasR	PA1657	+
mexT	PA1657	-
lasR	PA1656	+
algU	PA1592	+
PA3249	PA1144	-
pmrA	PA1559	+
PA1539	PA1539	-
PA1539	PA1538	-
PA1539	PA1537	-
PA1504	PA1522	-
PA1504	PA1521	-
PA1520	PA1520	-
PA1520	PA1519	-
PA1504	PA1519	-
PA1520	PA1518	-
PA0167	PA1517	-
PA1520	PA1517	-
PA0167	PA1516	-
PA1520	PA1516	-
PA0167	PA1514	-
PA1520	PA1514	-
PA0167	PA1513	-
PA1520	PA1513	-
PA1520	PA1507	-
PA1520	PA1503	-
PA1520	PA1501	-
PA1520	PA1500	-
fleQ	PA1442	+
fliA	PA1442	+
rpoN	PA1442	+
lasR	PA1419	+
phoP	PA1343	?
fur	PA1322	?
fur	PA1322	?
fur	PA1301	-
fur	PA1300	-
PA1269	PA1269	+
PA1269	PA1268	+
PA1269	PA1267	+
PA1269	PA1260	+
PA1269	PA1259	+
PA1269	PA1258	+
PA1269	PA1257	+
PA1269	PA1256	+
PA1269	PA1255	+
PA1269	PA1254	+
PA1269	PA1253	+
lasR	aprX	+
bexR	PA1205	+
bexR	PA1204	+
bexR	PA1203	+
bexR	PA1202	+
phoP	PA1196	-
lasR	PA1159	+
PA3249	PA1143	-
PA3249	PA1142	-
fleQ	fliH	+
rpoN	fliH	+
fleQ	PA1096	?
fleQ	fliS	+
rpoN	fliS	+
fliA	PA1093	?
rpoN	phaG	+
algU	PA1053	+
algU	PA1053	+
PA1050	PA1052	+
PA1050	PA1051	+
lexA	PA1045	-
fur	ybgC	?
pqrR	pqrR	+
pqrR	PA0941	-
pqrR	PA0940	-
pqrR	PA0939	-
fur	PA0930	-
fur	PA0929	-
lexA	PA0922	-
phoP	PA0921	+
argR	PA0900	+
argR	PA0891	+
algU	PA0856	+
lasR	PA0855	+
metR	PA0848	-
oxyR	PA0848	?
phoP	PA0836	-
pvdS	PA0818	+
lasR	PA0805	+
PA0797	PA0797	-
PA0797	PA0794	-
PA0797	PA0793	-
np20	PA0781	-
vreI	PA0691	+
lexA	PA0671	-
lexA	PA0670	-
lexA	PA0669	-
pprB	PA4294	?
pprB	PA4298	?
pmrA	PA0202	+
anr	PA4352	+
mexT	PA4354	+
mexT	PA4355	+
pmrA	feoB	+
pmrA	feoA	+
pvdS	PA4390	?
phoP	PA4453	+
phoP	PA4454	+
phoP	PA4455	+
algU	lptB	+
fur	PA4467	-
fur	PA4469	-
lasI	PA4469	?
fur	fagA	-
psdR	PA4500	-
psdR	dppB	-
psdR	dppC	-
psdR	dppD	-
psdR	dppF	-
fur	PA4513	?
fur	PA4513	?
fur	piuC	+
fur	PA4516	+
fur	PA4570	+
oxyR	PA4612	?
mexT	PA4623	+
tpbA	PA4624	-
tpbA	PA4625	-
PA4659	PA4657	-
PA4659	PA4658	-
PA4659	PA4659	-
fur	PA4675	?
fur	PA4675	?
lasR	PA4677	+
fur	PA4705	+
fur	PSPA7_RS25870	-
fur	PA4707	+
fur	PA4709	+
argR	PA4754	-
argR	PA4757	-
PA4769	PA4769	-
mexT	PA4772	-
PA4769	PA4772	-
pmrA	PA4773	+
pmrA	PA4774	+
pmrA	PA4775	+
pmrA	PA4781	+
pmrA	PA4782	+
pmrA	PA4822	+
pmrA	PA4823	+
pmrA	PA4824	+
pmrA	PA4826	+
pvdS	PA4833	+
np20	PA4838	-
phoB	PSPA7_RS26570 (PSPA7_5564)	?
mexT	PA4881	+
desT	PA4889	-
fur	PA4895	+
fur	PA4896	+
PA4906	PA4903	-
PA4916	PA4916	-
PA4916	PA4918	-
phoP	PA4918	-
cbrB	PA5093	?
HutC	PA5093	-
cbrB	PA5094	?
HutC	PA5094	-
cbrB	PA5095	?
HutC	PA5095	-
cbrB	PA5096	?
HutC	PA5096	-
cbrB	PA5097	?
HutC	PA5097	-
cbrB	PA5099	?
HutC	PA5099	-
cbrB	PA5101	?
cbrB	PA5102	?
cbrB	PA5103	?
cbrB	PA5104	?
HutC	PA5104	-
HutC	PA5106	-
pvdS	PA5130	+
pvdS	PA5150	+
algR	PA5152	+
argR	PA5152	+
algR	PA5153	+
argR	PA5153	+
argR	PA5154	+
argR	PA5155	+
lasR	PA5181	+
lasR	PA5184	+
pvdS	PA5190	?
fur	PA5216	+
fur	PA5217	+
lasR	PA5230	+
lasR	PA5231	+
lasR	PA5232	+
algU	PA5291	+
rpoN	sadB	?
GlcC	PA5352	-
PSPA7_RS29445	PSPA7_RS29440 (PSPA7_6174)	?
PSPA7_RS29400	PSPA7_RS29480 (PSPA7_6182)	?
PSPA7_RS29400	PSPA7_RS29485 (PSPA7_6184)	?
PA5431	PA5432	-
PA5431	PA5433	-
PSPA7_RS29685	oadA	?
PSPA7_RS29685	PSPA7_RS29685	?
PA5438	PA5438	-
lasR	kinB	+
np20	PA5498	-
PA5506	PA5506	-
PA5506	PA5507	-
PA5506	PA5508	-
PA5506	PA5509	-
PA5506	PA5510	-
np20	PA5534	-
np20	PA5535	-
np20	PA5536	-
np20	PA5537	-
np20	PA5539	-
np20	PA5540	-
vfr	pbpG	?
fur	pchA	-
pchR	pchA	+
fur	pchB	-
pchR	pchB	+
fur	pchC	-
pchR	pchC	+
fur	pchD	-
pchR	pchD	+
fur	pchE	-
pchR	pchE	+
fur	pchF	-
pchR	pchF	+
fur	pchR	-
pchR	pchR	-
pmrA	pcoA	-
pmrA	pcoB	-
fleQ	pelA	-
tpbA	pelA	-
fleQ	pelB	-
tpbA	pelB	-
fleQ	pelC	?
tpbA	pelC	-
fleQ	pelD	?
tpbA	pelD	-
fleQ	pelE	?
tpbA	pelE	-
fleQ	pelF	?
tpbA	pelF	-
fleQ	pelG	?
tpbA	pelG	-
pfeR	pfeA	+
fur	pfeR	-
PA3184	pgl	-
phhR	phhA	+
phhR	phhA	+
phhR	phhB	+
phhR	phhB	+
phhR	phhC	+
phhR	phhC	+
phhR	phhR	-
phhR	phhR	+
mexT	phnA	-
mvfR	phnA	+
bqsR/PA2657	phnA	+
bqsS/PA2656	phnA	+
mexT	phnB	-
mvfR	phnB	+
lasR	phnC	+
phoP	phoP	+
phoP	phoQ	+
phoB	phoU	?
PA4659	phr	-
algU	phuR	+
fur	phuR	+
fur	phuT	+
lasR	phzA1	+
qscR	phzA1	?
rhlR	phzA1	+
rpoS	phzA1	?
rsaL	phzA1	-
qscR	phzA2	?
lasR	phzB1	+
qscR	phzB1	?
rhlR	phzB1	+
rpoS	phzB1	?
rsaL	phzB1	?
qscR	phzB2	?
lasR	phzC1	+
qscR	phzC1	?
rhlR	phzC1	+
rpoS	phzC1	?
rsaL	phzC1	?
lasR	phzD1	+
qscR	phzD1	?
rhlR	phzD1	+
rpoS	phzD1	?
rsaL	phzD1	?
lasR	phzE1	+
qscR	phzE1	?
rhlR	phzE1	+
rpoS	phzE1	?
rsaL	phzE1	?
lasR	phzF1	+
rhlR	phzF1	+
rpoS	phzF1	?
rsaL	phzF1	?
lasR	phzF2	+
qscR	phzF2	?
rhlR	phzF2	?
rpoS	phzF2	?
rsaL	phzF2	?
lasR	phzG1	+
qscR	phzG1	?
rhlR	phzG1	+
rpoS	phzG1	?
rsaL	phzG1	?
qscR	phzG2	?
rhlR	phzG2	?
rpoS	phzG2	?
rsaL	phzG2	?
rsaL	phzM	-
pilR	pilA	-
crc	pilB	?
vfr	pilM	?
vfr	pilN	?
vfr	pilO	?
vfr	pilP	?
pilR	pilR	+
pilR	pilS	+
pvdS	prpL	+
lasR	plcB	+
